legoRef,type,name,canonicalName,condition,location,disposition,isBuild,isBuildWOFigs,isCrack,costPrice,displayPrice,sellPrice,valueLow,valueHigh,upcomingPrice,notes,srcRow,flags
4501,SET,Mos Eisley Cantina Blue Box,Mos Eisley Cantina Blue Box,USED,STORE,FOR_SALE,false,false,false,104.99,379.99,,250,400,,,2,name-variants
4501,SET,Mos Eisley Cantina Trilogy Box,Mos Eisley Cantina Blue Box,USED,STORE,FOR_SALE,false,false,false,135.46,349.99,,250,350,,,3,name-variants
6212,SET,X-Wing Fighter,X-Wing Fighter,USED,STORE,SOLD,false,false,false,64,139.99,115,100,150,,,4,
6212,SET,X-Wing Fighter,X-Wing Fighter,USED,STORE,FOR_SALE,false,false,false,103.38,149.99,,100,150,,,5,
6964,SET,Bob Fett's Slave 1 (Micro),Bob Fett's Slave 1 (Micro),USED,STORE,FOR_SALE,true,false,false,,,,,,,,6,cost-unknown
7140,SET,X-Wing Fighter,X-Wing Fighter,USED,STORE,LAYAWAY,false,false,false,75,344.99,,165,350,,Only 4 for sale,7,
7660,SET,Naboo N-1 Starfighter w/ Vulture Droid,Naboo N-1 Starfighter w/ Vulture Droid,USED,STORE,FOR_SALE,false,false,false,40,199.99,,150,200,,,8,
7676,SET,Republic Attack Gunship,Republic Attack Gunship,USED,UNKNOWN,FOR_SALE,false,false,false,,550,,,,,"Commander Cody. Has 1 listed | in inventory, but not in cost. $550-900",9,cost-unknown;garbled-pdf-row
7914,SET,Mandalorian Battle Pack,Mandalorian Battle Pack,USED,STORE,LAYAWAY,false,false,false,15.5,79.99,,50,80,,,10,
7962,SET,Anakin Skywalker and Sebulba's Podracers,Anakin Skywalker and Sebulba's Podracers,USED,STORE,SOLD,false,false,false,87.99,249.99,0,175,300,,Layaway,11,
7965,SET,Millennium Falcon,Millennium Falcon,USED,STORE,SOLD,false,false,false,249.99,249.99,25,200,300,,Layaway,12,"sold-conflict(xlsx=25,pdf=0)"
7965,SET,Millennium Falcon,Millennium Falcon,USED,STORE,FOR_SALE,false,false,false,229.99,249.99,,200,300,,,13,
7965,SET,Millennium Falcon,Millennium Falcon,USED,UNKNOWN,FOR_SALE,false,false,false,219.99,,,200,300,,,14,
8092,SET,Luke's Landspeeder,Luke's Landspeeder,USED,STORE,FOR_SALE,false,false,false,39.94,69.99,,50,100,69.99,,15,
8098,SET,Clone Turbo Tank,Clone Turbo Tank,USED,STORE,FOR_SALE,false,false,false,80,549.99,,300,500,,,16,
8098,SET,Clone Turbo Tank,Clone Turbo Tank,USED,STORE,FOR_SALE,true,true,false,167.5,,,300,500,,,17,
8098,SET,Clone Turbo Tank,Clone Turbo Tank,USED,STORE,FOR_SALE,false,false,false,199,,,300,500,,,18,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,UNKNOWN,FOR_SALE,false,false,true,14.99,,,100,150,,,19,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,UNKNOWN,SOLD,false,false,false,14.99,,149.99,,,,Sold,20,"sold-conflict(xlsx=149.99,pdf=139.99)"
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,STORE,FOR_SALE,false,false,false,19.25,,,100,150,,,21,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,STORAGE,LAYAWAY,false,false,false,14.99,,,100,150,,,22,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,STORAGE,LAYAWAY,false,false,false,13.5,,,100,150,,,23,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,STORAGE,LAYAWAY,false,false,false,18,,,100,150,,,24,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,STORAGE,FOR_SALE,false,false,false,13.5,,,100,150,,,25,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,STORAGE,FOR_SALE,false,false,false,13.5,,,100,150,,,26,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,STORAGE,FOR_SALE,false,false,false,15.5,,,100,150,,,27,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,STORAGE,FOR_SALE,false,false,false,15.5,,,100,150,,,28,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,STORAGE,FOR_SALE,false,false,false,14,,,100,150,,,29,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,STORAGE,FOR_SALE,false,false,false,14,,,100,150,,,30,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,STORE,FOR_SALE,false,false,false,12.99,139.99,,100,150,,,31,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,STORE,FOR_SALE,true,true,false,25,,,,5,,,32,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,STORE,FOR_SALE,true,false,false,15.99,,,100,150,,,33,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,STORE,FOR_SALE,true,true,false,15.99,,,,5,,,34,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,STORE,FOR_SALE,true,true,false,11.7,,,,5,,,35,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,HOME,FOR_SALE,false,false,false,11.7,,,100,150,,,36,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,HOME,FOR_SALE,false,false,false,11.7,,,100,150,,,37,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,HOME,FOR_SALE,false,false,false,11.7,,,100,150,,,38,
9488,SET,Elite Clone Trooper & Commando Battle Pack,Elite Clone Trooper & Commando Battle Pack,USED,HOME,FOR_SALE,false,false,false,11.7,,,100,150,,,39,
9492,SET,TIE Fighter,TIE Fighter,USED,STORE,FOR_SALE,false,false,false,80,99.99,,80,100,89.99,,40,"listing-vs-upcoming(pdf=99.99,up=89.99)"
9492,SET,TIE Fighter,TIE Fighter,USED,STORE,FOR_SALE,false,false,false,80,99.99,,80,100,,,41,
9492,SET,TIE Fighter,TIE Fighter,USED,STORE,FOR_SALE,true,true,false,,,,,,,,42,cost-unknown
9493,SET,X-Wing Starfighter,X-Wing Starfighter,USED,STORE,FOR_SALE,false,false,false,146.99,199.99,,150,200,,,43,
9493,SET,X-Wing Starfighter,X-Wing Starfighter,USED,STORAGE,FOR_SALE,false,false,false,86.45,,,150,200,,,44,
9493,SET,X-Wing Starfighter,X-Wing Starfighter,USED,STORE,FOR_SALE,false,false,false,75,199.99,,150,200,,,45,
9493,SET,X-Wing Starfighter,X-Wing Starfighter,USED,UNKNOWN,STOLEN,false,false,false,85,,,150,200,,,46,
9496,SET,Desert Skiff,Desert Skiff,USED,STORE,FOR_SALE,false,false,false,31.95,,,75,100,,,47,
9496,SET,Desert Skiff,Desert Skiff,USED,UNKNOWN,SOLD,false,false,false,36.7,,99.99,,,,Sold,48,
9496,SET,Desert Skiff,Desert Skiff,USED,STORE,FOR_SALE,false,false,false,31.95,99.99,,75,100,,,49,
9499,SET,Gungun Sub,Gungun Sub,USED,STORE,SOLD,false,false,false,50,449.99,100,200,500,,,50,
9516,SET,Jabba's Palace,Jabba's Palace,USED,STORE,FOR_SALE,false,false,false,129,,,300,600,,,51,
9525,SET,Pre Vizsla's Mandalorian Fighter,Pre Vizsla's Mandalorian Fighter,USED,STORE,FOR_SALE,false,false,false,36,349.99,,200,400,,,52,
10123,SET,Cloud City,Cloud City,USED,UNKNOWN,LAYAWAY,false,false,false,1040,,,4000,10000,,Four for sale. Possibly best for,53,
10123,SET,Cloud City,Cloud City,USED,HOME,FOR_SALE,false,false,false,968,,,4000,10000,,,54,
10178,SET,Motorized Walking AT-AT,Motorized Walking AT-AT,USED,STORE,LAYAWAY,true,false,false,,,,,,,,55,cost-unknown
10188,SET,Death Star UCS,Death Star UCS,USED,UNKNOWN,SOLD,false,false,false,399.95,,999.99,,,,Sold,56,"sold-conflict(xlsx=999.99,pdf=1000)"
10188,SET,Death Star UCS,Death Star UCS,USED,STORE,LAYAWAY,false,false,false,399.99,,,800,1000,,,57,
10188,SET,Death Star UCS,Death Star UCS,USED,STORE,LAYAWAY,false,false,false,439,999.99,,800,1000,,,58,
10188,SET,Death Star UCS,Death Star UCS,USED,STORE,LAYAWAY,false,false,false,499,999.99,,800,1000,,,59,
10188,SET,Death Star UCS,Death Star UCS,USED,STORE,SOLD,true,false,false,450,550,999.99,800,1000,,Layaway,60,
10188,SET,Death Star UCS,Death Star UCS,USED,UNKNOWN,SOLD,false,false,false,455,,1000,,,,Sold,61,"sold-conflict(xlsx=1000,pdf=999.99)"
10198,SET,Tantive IV,Tantive IV,USED,STORE,LAYAWAY,false,false,false,230,449.99,,350,450,,,62,
10198,SET,Tantive IV,Tantive IV,USED,UNKNOWN,SOLD,false,false,false,,,140,,,,Sold (Built w/figs),63,cost-unknown
10215,SET,Obi Wan's Jedi Starfighter UCS,Obi Wan's Jedi Starfighter UCS,USED,STORE,FOR_SALE,false,false,false,120,449.99,,300,500,,,64,
10215,SET,Obi Wan's Jedi Starfighter UCS,Obi Wan's Jedi Starfighter UCS,USED,STORE,FOR_SALE,false,false,false,120,449.99,,300,500,,,65,
10236,SET,Ewok Villiage UCS,Ewok Villiage UCS,USED,UNKNOWN,SOLD,false,false,false,224.99,,750,,,,Sold,66,
10236,SET,Ewok Villiage UCS,Ewok Villiage UCS,USED,STORE,LAYAWAY,false,false,false,239.01,,,680,750,,,67,
10236,SET,Ewok Villiage UCS,Ewok Villiage UCS,USED,UNKNOWN,SOLD,false,false,false,175.99,,749.99,,,,Sold,68,
10236,SET,Ewok Villiage UCS,Ewok Villiage UCS,USED,STORAGE,FOR_SALE,false,false,false,198,,,680,750,,,69,
10240,SET,Red Five X-Wing Starfighter UCS,Red Five X-Wing Starfighter UCS,USED,STORE,FOR_SALE,false,false,false,199.99,449.99,,260,500,,,70,
10240,SET,Red Five X-Wing Starfighter UCS,Red Five X-Wing Starfighter UCS,USED,STORE,FOR_SALE,false,false,false,199.99,449.99,,260,500,,,71,
10240,SET,Red Five X-Wing Starfighter UCS,Red Five X-Wing Starfighter UCS,USED,STORE,FOR_SALE,false,false,false,199.99,,,260,500,,,72,
10240,SET,Red Five X-Wing Starfighter UCS,Red Five X-Wing Starfighter UCS,USED,HOME,FOR_SALE,false,false,false,199.99,,,260,500,,,73,
20019,SET,Slave 1 (BrickMaster),Slave 1 (BrickMaster),USED,STORE,FOR_SALE,true,false,false,,,,,,,,74,cost-unknown
30278,SET,Poe's X-Wing Fighter Pack,Poe's X-Wing Fighter Pack,USED,STORE,SOLD,false,false,false,7.19,,8,5,10,,,75,
30278,SET,Poe's X-Wing Fighter Pack,Poe's X-Wing Fighter Pack,USED,STORE,FOR_SALE,false,false,false,7.19,,,40,10,,,76,
75001,SET,Republic Troopers VS Sith Troopers,Republic Troopers VS Sith Troopers,USED,UNKNOWN,FOR_SALE,false,false,true,11.99,54.99,,40,60,54.99,,77,
75001,SET,Republic Troopers VS Sith Troopers,Republic Troopers VS Sith Troopers,USED,STORE,FOR_SALE,false,false,false,11.99,,,40,60,,,78,
75001,SET,Republic Troopers VS Sith Troopers,Republic Troopers VS Sith Troopers,USED,STORE,FOR_SALE,false,false,false,11.99,59.99,,40,60,,,79,
75001,SET,Republic Troopers VS Sith Troopers,Republic Troopers VS Sith Troopers,USED,UNKNOWN,FOR_SALE,false,false,false,6.99,,,40,60,,,80,
75004,SET,Z-95 Headhunter,Z-95 Headhunter,USED,STORE,LAYAWAY,false,false,false,48.79,249.99,,175,250,,,81,
