Minifigure Number,Name,Sold,Upcoming,Cost,Low Value,High Value,Notes
,,3278.14,1184,2511.19,15987,26818,
75146-17,Protocol Droid,,,,6,15,
Dewback,Dewback (16875pb01c01),40,,6,,,
Rancor,Rancor (11323pb01c01),,layaway,14,100,200,
SW0001b,Battle Droid,6,,0,,,
SW0001b,Battle Droid,6,,0,,,
SW0001b,Battle Droid,,,0,5,6,
SW0001b,Battle Droid,,,0,5,6,
SW0001b,Battle Droid,,,0,5,6,
SW0001b,Battle Droid,,,0.5,5,6,
SW0001b,Battle Droid,,,0.5,5,6,
SW0001b,Battle Droid  ,,,0.5,5,6,
SW0001b,Battle Droid  ,,,0.5,5,6,
SW0001c,Battle Droid  ,6,,1,,,
SW0001c,Battle Droid  ,6,,1,,,
SW0001c,Battle Droid  ,,6,0.5,,,
SW0001c,Battle Droid  ,,6,0.5,,,
SW0001c,Battle Droid  ,,6,0.5,,,
SW0001c,Battle Droid  ,,layaway,0.5,5,6,
SW0001c,Battle Droid  ,,layaway,0.5,5,6,
SW0001c,Battle Droid  ,,,0.5,5,6,
SW0001c,Battle Droid  ,,,0.5,5,6,
SW0001c,Battle Droid  ,,,0.5,5,6,
SW0001c,Battle Droid  ,,,0.5,5,6,
SW0001c,Battle Droid  ,,,0.5,5,6,
SW0001c,Battle Droid  ,,,0.5,5,6,
SW0001d,Battle Droid  ,,,1,5,6,
SW0001d,Battle Droid  ,,,0.5,5,6,
SW0001d,Battle Droid  ,,,0.5,5,6,
SW0002a,Boba Fett,,layaway,,40,80,"Classic, single helmet/jetpack. Non-printed legs"
SW0002B,Boba Fett,,layaway,4,45,70,Single helmet/Jetpack. Non-printed legs. Red on helmet
SW0002B,Boba Fett,,layaway,5,45,70,Single helmet/Jetpack. Non-printed legs. Red on helmet
SW0002b,Boba Fett ,,,2,40,80,"Classic, single helmet/jetpack. Non-printed legs. Scratched helmet"
SW0003,Darth Maul,25,,,,,
SW0003,Darth Maul,,,,15,30,
SW0003,Darth Maul,,,,15,30,
SW0004,Darth Vader,,,?,20,40,Mislabeled as 0214
SW0004A,Darth Vader,,,,30,50,Light bluish grey head
SW0005,Imperial Scout Trooper,,,?,,,
SW0005A,Imperial Scout Trooper,10,,1,,,
SW0005b,Imperial Scout Trooper,10,,1,,,
SW0011,Chewbacca,,,1,6,7,Reddish brown
SW0011a,Chewbacca,,7,1,,,
SW0011a,Chewbacca,,7,1,,,Reddish brown
SW0011a,Chewbacca,,,1,,,
SW0011a,Chewbacca,,,?,,,
SW0012A,Dak Ralter,,,,8,12,
SW0014,Han Solo,,,,60,80,
SW0017,Jar Jar Binks,,,,7,12,
SW0017,Jar Jar Binks,,,,7,12,
SW0018,Luke Skywalker (Endor),12,,,,,
SW0019,Luke Skywalker X-Wing Pilot,,,,7,12,
SW0019A,Luke Skywalker X-Wing Pilot,,,,7,15,
SW0021,Luke Skywalker (Tatooine),10,,,,,
SW0023A,Obi-Wan Kenobi (Old),,,,7,20,
SW0027,Qui-Gon Jinn (Yellow Head),,,,10,20,
SW0027,Qui-Gon Jinn (Yellow Head),,,,10,20,
SW0027,Qui-Gon Jinn (Yellow Head),,,,10,20,
SW0027,Qui-Gon Jinn (Yellow Head),,,,10,20,
SW0027,Qui-Gon Jinn (Yellow Head),,,,10,20,
SW0028,R2-D2,,,,6,10,
SW0028,R2-D2,,,,6,10,
SW0031,Rebel A-Wing Pilot,,,?,7,20,
SW0032,Rebel B-Wing Pilot,,,?,10,20,
SW0033,Rebel Y-Wing Pilot ,,,,7,15,"John 'Dutch' Vander, Gold LEader"
SW0035a,Imperial TIE Fighter- Interceptor Pilot,,,1.5,7,10,
SW0035B,Imperial TIE Fighter- Interceptor Pilot,,,1,7,10,
SW0035b,Imperial TIE Fighter- Interceptor Pilot,,,1,7,10,
SW0035b,Imperial TIE Fighter- Interceptor Pilot,,,0,7,10,
SW0035b,Imperial TIE Fighter- Interceptor Pilot,,,?,,,
SW0036,Imperial Stormtrooper,,,,7,15,
SW0036,Imperial Stormtrooper,,,,7,15,
SW0036B,Imperial Stormtrooper,,,0.5,7,15,
SW0036B,Imperial Stormtrooper,,,1,7,15,
SW0038,Watto,20,,39,,,
SW0040,Royal Guard,,,,7,15,
SW0040,Royal Guard,,,,7,15,
SW0040,Royal Guard,,,,7,15,
SW0046,Imperial Officer,,,1,7,12,
SW0047,Battle Droid Security (Red),,,1,7,15,
