Set Number,Set Name,Sold,Upcoming,Cost,Low Value,High Value
4501,Mos Eisley Cantina Blue Box,,,104.99,250,400
4501,Mos Eisley Cantina Trilogy Box,,,135.46,250,350
6212,X-Wing Fighter,115,,64,,
6212,X-Wing Fighter,,,103.38,100,150
6964,Bob Fett's Slave 1 (Micro),,,?,,
7140,X-Wing Fighter,,Layaway,75,165,350
7660,Naboo N-1 Starfighter w/ Vulture Droid,,,40,150,200
7676,Republic Attack Gunship,,,,,
7914,Mandalorian Battle Pack,,Layaway,15.5,50,80
7962,Anakin Skywalker and Sebulba's Podracers,,Layaway,87.99,175,300
7965,Millennium Falcon,25,Layaway,249.99,200,300
7965,Millennium Falcon,,,229.99,200,300
7965,Millennium Falcon,,,219.99,200,300
8092,Luke's Landspeeder,,69.99,39.94,,
8098,Clone Turbo Tank,,,80,300,500
8098,Clone Turbo Tank,,,167.5,300,500
8098,Clone Turbo Tank,,,199,300,500
9488,Elite Clone Trooper & Commando Battle Pack,,,14.99,100,150
9488,Elite Clone Trooper & Commando Battle Pack,149.99,,14.99,,
9488,Elite Clone Trooper & Commando Battle Pack,,,19.25,100,150
9488,Elite Clone Trooper & Commando Battle Pack,,Layaway,14.99,100,150
9488,Elite Clone Trooper & Commando Battle Pack,,Layaway,13.5,100,150
9488,Elite Clone Trooper & Commando Battle Pack,,Layaway,18,100,150
9488,Elite Clone Trooper & Commando Battle Pack,,,13.5,100,150
9488,Elite Clone Trooper & Commando Battle Pack,,,13.5,100,150
9488,Elite Clone Trooper & Commando Battle Pack,,,15.5,100,150
9488,Elite Clone Trooper & Commando Battle Pack,,,15.5,100,150
9488,Elite Clone Trooper & Commando Battle Pack,,,14,100,150
9488,Elite Clone Trooper & Commando Battle Pack,,,14,100,150
9488,Elite Clone Trooper & Commando Battle Pack,,,12.99,100,150
9488,Elite Clone Trooper & Commando Battle Pack,,,25,,5
9488,Elite Clone Trooper & Commando Battle Pack,,,15.99,100,150
9488,Elite Clone Trooper & Commando Battle Pack,,,15.99,,5
9488,Elite Clone Trooper & Commando Battle Pack,,,11.7,,5
9488,Elite Clone Trooper & Commando Battle Pack,,,11.7,100,150
9488,Elite Clone Trooper & Commando Battle Pack,,,11.7,100,150
9488,Elite Clone Trooper & Commando Battle Pack,,,11.7,100,150
9488,Elite Clone Trooper & Commando Battle Pack,,,11.7,100,150
9492,TIE Fighter,,89.99,80,,
9492,TIE Fighter,,,80,80,100
9492,TIE Fighter,,,?,,
9493,X-Wing Starfighter,,,146.99,150,200
9493,X-Wing Starfighter,,,86.45,150,200
9493,X-Wing Starfighter,,,75,150,200
9493,X-Wing Starfighter,,,85,150,200
9496,Desert Skiff,,,31.95,75,100
9496,Desert Skiff,99.99,,36.7,,
9496,Desert Skiff,,,31.95,75,100
9499,Gungun Sub,100,,50,,
9516,Jabba's Palace,,,129,,
9525,Pre Vizsla's Mandalorian Fighter,,,36,200,400
10123,Cloud City,,Layaway,1040,4000,10000
10123,Cloud City,,,968,4000,10000
10178,Motorized Walking AT-AT,,Layaway,?,,
10188,Death Star UCS,999.99,,399.95,,
10188,Death Star UCS,,Layaway,399.99,800,1000
10188,Death Star UCS,,Layaway,439,800,1000
10188,Death Star UCS,,Layaway,499,800,1000
10188,Death Star UCS,999.99,,450,,
10188,Death Star UCS,1000,,455,,
10198,Tantive IV,,Layaway,230,350,450
10198,Tantive IV,140,,?,,
