Set Number,Set Name,Cost,Low Value,High Value,Notes,Sold,Location,Listing Price
4501,Mos Eisley Cantina Blue Box,104.99,250,400,,,Store,379.99
4501,Mos Eisley Cantina Trilogy Box,135.46,250,350,,,Store,349.99
6212,X-Wing Fighter,64,100,150,,,Store,139.99
6212,X-Wing Fighter,103.38,100,150,,,Store,149.99
6964,Bob Fett's Slave 1 (Micro),?,,,,,Store (Built),
7140,X-Wing Fighter,75,165,350,Only 4 for sale,,Store,344.99
7660,Naboo N-1 Starfighter w/ Vulture Droid,40,150,200,,,Store,199.99
7676,Republic Attack Gunship,,,,Commander Cody. Has 1 listed,,"in inventory, but not in",cost. $550-900
7914,Mandalorian Battle Pack,15.5,50,80,,,Store,79.99
7962,Anakin Skywalker and Sebulba's Podracers,87.99,175,300,Layaway,0,Store,249.99
7965,Millennium Falcon,249.99,200,300,Layaway,0,Store,249.99
7965,Millennium Falcon,229.99,200,300,,,Store,249.99
7965,Millennium Falcon,219.99,200,300,,,,
8092,Luke's Landspeeder,39.94,50,100,,,Store,69.99
8098,Clone Turbo Tank,80,300,500,,,Store,549.99
8098,Clone Turbo Tank,167.5,300,500,,,Store (Built w/o figs),
8098,Clone Turbo Tank,199,300,500,,,Store,
9488,Elite Clone Trooper & Commando Battle Pack,14.99,100,150,,,Crack,
9488,Elite Clone Trooper & Commando Battle Pack,14.99,,,Sold,139.99,Sold,
9488,Elite Clone Trooper & Commando Battle Pack,19.25,100,150,,,Store,
9488,Elite Clone Trooper & Commando Battle Pack,14.99,100,150,,,Storage,
9488,Elite Clone Trooper & Commando Battle Pack,13.5,100,150,,,Storage,
9488,Elite Clone Trooper & Commando Battle Pack,18,100,150,,,Storage,
9488,Elite Clone Trooper & Commando Battle Pack,13.5,100,150,,,Storage,
9488,Elite Clone Trooper & Commando Battle Pack,13.5,100,150,,,Storage,
9488,Elite Clone Trooper & Commando Battle Pack,15.5,100,150,,,Storage,
9488,Elite Clone Trooper & Commando Battle Pack,15.5,100,150,,,Storage,
9488,Elite Clone Trooper & Commando Battle Pack,14,100,150,,,Storage,
9488,Elite Clone Trooper & Commando Battle Pack,14,100,150,,,Storage,
9488,Elite Clone Trooper & Commando Battle Pack,12.99,100,150,,,Store,139.99
9488,Elite Clone Trooper & Commando Battle Pack,25,,5,,,Store (Built w/o figs),
9488,Elite Clone Trooper & Commando Battle Pack,15.99,100,150,,,Store (Built w/ figs),
9488,Elite Clone Trooper & Commando Battle Pack,15.99,,5,,,Store (Built w/o figs),
9488,Elite Clone Trooper & Commando Battle Pack,11.7,,5,,,Store (Built w/o figs),
9488,Elite Clone Trooper & Commando Battle Pack,11.7,100,150,,,Home,
9488,Elite Clone Trooper & Commando Battle Pack,11.7,100,150,,,Home,
9488,Elite Clone Trooper & Commando Battle Pack,11.7,100,150,,,Home,
9488,Elite Clone Trooper & Commando Battle Pack,11.7,100,150,,,Home,
9492,TIE Fighter,80,80,100,,,Store,99.99
9492,TIE Fighter,80,80,100,,,Store,99.99
9492,TIE Fighter,?,,,,,Store (Built w/o figs),
9493,X-Wing Starfighter,146.99,150,200,,,Store,199.99
9493,X-Wing Starfighter,86.45,150,200,,,Storage,
9493,X-Wing Starfighter,75,150,200,,,Store,199.99
9493,X-Wing Starfighter,85,150,200,,,Stolen,
9496,Desert Skiff,31.95,75,100,,,Store,
9496,Desert Skiff,36.7,,,Sold,99.99,Sold,
9496,Desert Skiff,31.95,75,100,,,Store,99.99
9499,Gungun Sub,50,200,500,,,Store,449.99
9516,Jabba's Palace,129,300,600,,,Store,
9525,Pre Vizsla's Mandalorian Fighter,36,200,400,,,Store,349.99
10123,Cloud City,1040,4000,10000,Four for sale. Possibly best for,,"one Sotno rEebay, the other",in store.
10123,Cloud City,968,4000,10000,,,Home,
10178,Motorized Walking AT-AT,?,,,,,Store (Built w/ figs),
10188,Death Star UCS,399.95,,,Sold,1000,Sold,
10188,Death Star UCS,399.99,800,1000,,,Store,
10188,Death Star UCS,439,800,1000,,,Store,999.99
10188,Death Star UCS,499,800,1000,,,Store,999.99
10188,Death Star UCS,450,800,1000,Layaway,,Store (Built w/ figs),550
10188,Death Star UCS,455,,,Sold,999.99,Sold,
10198,Tantive IV,230,350,450,,,Store,449.99
10198,Tantive IV,?,,,Sold (Built w/figs),140,Sold,
10215,Obi Wan's Jedi Starfighter UCS,120,300,500,,,Store,449.99
10215,Obi Wan's Jedi Starfighter UCS,120,300,500,,,Store,449.99
10236,Ewok Villiage UCS,224.99,,,Sold,750,Sold,
10236,Ewok Villiage UCS,239.01,680,750,,,Store,
10236,Ewok Villiage UCS,175.99,,,Sold,749.99,Sold,
10236,Ewok Villiage UCS,198,680,750,,,Storage,
10240,Red Five X-Wing Starfighter UCS,199.99,260,500,,,Store,449.99
10240,Red Five X-Wing Starfighter UCS,199.99,260,500,,,Store,449.99
10240,Red Five X-Wing Starfighter UCS,199.99,260,500,,,Store,
10240,Red Five X-Wing Starfighter UCS,199.99,260,500,,,Home,
20019,Slave 1 (BrickMaster),?,,,,,Store (Built),
30278,Poe's X-Wing Fighter Pack,7.19,5,10,,,Store,
30278,Poe's X-Wing Fighter Pack,7.19,40,10,,,Store,
75001,Republic Troopers VS Sith Troopers,11.99,40,60,,,Crack,
75001,Republic Troopers VS Sith Troopers,11.99,40,60,,,Store,
75001,Republic Troopers VS Sith Troopers,11.99,40,60,,,Store,59.99
75001,Republic Troopers VS Sith Troopers,6.99,40,60,,,,
75004,Z-95 Headhunter,48.79,175,250,,,Store,249.99
75005,Rancor Pit,42.99,300,350,,,Store,349.99
75012,BARC Speeder with Sidecar,27.99,,450,,,Store,
75012,BARC Speeder with Sidecar,27.99,400,450,,,Store,449.99
75013,Umbaran Mobile Heavy Cannon,60,,,Sold,199.99,Sold,
75016,Homing Spider Droid,18,,,,,Store (Built with,"minifigs, missing 1 super battle droid)"
75018,Jek-14's Stealth Starfighter,72.5,200,250,,,Store,
75018,Jek-14's Stealth Starfighter,60,200,250,,,Store,249.99
75018,Jek-14's Stealth Starfighter,60,200,250,,,Store,249.99
75019,AT-TE,140.95,350,400,,,Store,
75019,AT-TE,125,360,400,,,Store,399.99
75020,Jabba's Sail Barge,99.98,500,600,Layaway,0,Store,599.99
75021,Republic Gunship,114.95,800,900,,,Store,849.99
75021,Republic Gunship,?,,,,,Store (built w/o figs),
75022,Mandalorian Speeder,38,160,180,,,Store,174.99
75022,Mandalorian Speeder,42.48,160,180,,,Store,174.99
75022,Mandalorian Speeder,29,160,180,,,,
75024,HH-87 Starhopper,35,100,200,,,Store,199.99
75025,Jedi Defender Class Cruiser,52.98,300,500,,,Store,449.99
75028,Clone Turbo Tank Micro,7.47,20,100,Figure alone is valued at $40,,Store,
75028,Clone Turbo Tank Micro,7.47,20,100,,,Storage,
75028,Clone Turbo Tank Micro,9.99,20,100,,,Storage,
75028,Clone Turbo Tank Micro,8,20,100,,,Store,74.99
75028,Clone Turbo Tank Micro,10.99,,,Sold,53.99,Sold,
75028,Clone Turbo Tank Micro,7.99,20,100,,,Store,
75028,Clone Turbo Tank Micro,3.5,20,100,,,Store,
75029,AAT Micro,9.99,15,40,,,Store,
75029,AAT Micro,8,15,40,,,Store,
75029,AAT Micro,8,15,40,,,Storage,
75029,AAT Micro,10.99,15,40,,,Store,
75029,AAT Micro,?,15,40,,,Store,34.99
75030,Millennium Falcon Micro,9.89,15,30,,,Store,
75030,Millennium Falcon Micro,9.99,15,30,,,Store,
75030,Millennium Falcon Micro,9.99,15,30,,,Store,
75030,Millennium Falcon Micro,9.99,15,30,,,Storage,
75030,Millennium Falcon Micro,8,15,30,,,Store,24.99
75030,Millennium Falcon Micro,10.99,15,30,,,Store,
75031,TIE Interceptor Micro,9.97,15,30,,,Store,
75031,TIE Interceptor Micro,9.97,15,30,,,Storage,
75031,TIE Interceptor Micro,8,15,30,,,Store,
75031,TIE Interceptor Micro,10.99,15,30,,,Store,24.99
75032,X-Wing Fighter & Pilot Micro,9.99,15,40,,,Storage,
75032,X-Wing Fighter Micro,12.99,15,40,,,Storage,
75032,X-Wing Fighter Micro,12.99,15,40,,,Storage,
75032,X-Wing Fighter Micro,9.97,15,40,,,Home,
75032,X-Wing Fighter Micro,8,15,40,,,Store,34.99
75032,X-Wing Fighter Micro,7,15,40,,,Store,
75032,X-Wing Fighter Micro,10.99,15,40,,,,
75032,X-Wing Fighter Micro,2.98,15,40,,,,
75033,Star Destroyer Micro,7.99,15,40,,,Store,
75033,Star Destroyer Micro,7.99,15,40,,,Storage,
75033,Star Destroyer Micro,7.99,15,40,,,Storage,
75033,Star Destroyer Micro,8,15,40,,,Storage,
75033,Star Destroyer Micro,10.99,15,40,,,Store,34.99
75034,Death Star Troopers,12.97,20,40,,,Store,
75034,Death Star Troopers,12.97,20,40,,,Store,
75034,Death Star Troopers,12.59,20,40,,,Store,39.99
75034,Death Star Troopers,12.34,20,40,,,Store,39.99
75034,Death Star troopers,0,20,40,,,Store,39.99
75034,Death Star Troopers,14.98,20,40,,,Store,39.99
75034,Death Star Troopers,14.98,,5,,,Store (built w/o figs),
75034,Death Star Troopers,14.98,,,Sold,30.99,Sold,
75035,Kashyyyk Troopers,12.97,60,100,Combined value of individual,,figureCs risa cakbout $80-100,
75035,Kashyyyk Troopers,12.97,60,100,,,Crack,
75035,Kashyyyk Troopers,12.97,60,100,,,Crack,
75035,Kashyyyk Troopers,12.99,60,100,,,Store,
75035,Kashyyyk Troopers,12.99,60,100,,,Store,89.99
75035,Kashyyyk Troopers,12.97,60,100,,,Store,89.99
75035,Kashyyyk Troopers,12.97,60,100,,,Store,89.99
75035,Kashyyyk Troopers,11.19,60,100,,,Store,89.99
75035,Kashyyyk Troopers,11.19,,,Sold,80,Sold,
75035,Kashyyyk Troopers,11.19,60,100,,,,
75036,Utapua Troopers,12.97,80,150,Combined value of figs is about,,$90Crack,
75036,Utapua Troopers,12.97,80,150,,,Crack,
75036,Utapua Troopers,9.51,80,150,,,Crack,
75036,Utapua Troopers,9.51,80,150,,,Store,
75036,Utapua Troopers,12.97,80,150,,,Store,139.99
75036,Utapua Troopers,11.19,80,150,,,Store,139.99
75036,Utapua Troopers,11.19,,5,,,Store (Built w/o figs),
75036,Utapua Troopers,11.19,,,Sold,100,Sold,
75037,Battle of Saleucami,14.24,50,100,,,Store,99.99
75037,Battle of Saleucami,6.99,50,100,,,Store,
75037,Battle of Saleucami,14.24,50,100,,,Storage,
75037,Battle on Saleucami,14.99,50,100,,,Storage,
75038,Jedi Intercepter,24.97,50,100,,,Store,99.99
75038,Jedi Intercepter,23.39,50,100,,,Storage,
75038,Jedi Intercepter,24.97,50,100,,,Store,99.99
75038,Jedi Intercepter,0,,,Sold,91.99,Sold,
75039,V-Wing Starfighter,22,80,150,,,Storage,149.99
